name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,notable_works,field,spouse,children,parents
Malala Yousafzai,{{birth date and age|df=yes|1997|7|12}},"[[Mingora]], Swat, Pakistan<ref name=whoswho>{{Who's Who | author=Anon| title=Yousafzai, Malala | id=U282567 | year=2019 | doi=10.1093/ww/9780199540884.013.U282567| edition=online [[Oxford University Press]]|location=Oxford}}</ref>",,,,Activist for [[female education]]<!-- no longer a student-->,,,,,"[[Lady Margaret Hall, Oxford]] ([[Bachelor of Arts|BA]])",,,{{marriage|Asser Malik|2021}}<ref>{{cite web |title=Malala Yousafzai announces her marriage on Twitter |url=https://www.cbc.ca/news/world/malala-yousafzai-marriage-announcement-twitter-human-rights-campaigner-1.6243231 |website=CBC News |publisher=Associated Press |access-date=9 November 2021 |date=9 November 2021 |archive-date=9 November 2021 |archive-url=https://web.archive.org/web/20211109224521/https://www.cbc.ca/news/world/malala-yousafzai-marriage-announcement-twitter-human-rights-campaigner-1.6243231 |url-status=live }}</ref>,,
Ilhan Omar,{{birth date and age|1982|10|4}},"[[Mogadishu]], Somalia<!-- DO NOT LINK PER MOS:GEOLINK -->",,,,,,,,,[[North Dakota State University]] ([[Bachelor of Arts|BA]]),,,"{{ubl | {{marriage|Ahmed Nur Said Elmi|2009|2017|end=div}}{{efn|Omar has stated that she and Elmi had a [[Divorce in Islam|faith-based divorce]] in 2011, and remained legally married until 2017.}} | {{marriage|Ahmed Abdisalan Hirsi{{efn|Omar has stated that she and Hirsi had a [[marriage in Islam|faith-based marriage]] in 2002 and a [[Divorce in Islam|faith-based divorce]] in 2008, before reconciling in 2012 and getting legally marriage in 2018. Their divorced was finalized on November 5, 2019.}}|2002|2008|end=div}}|{{marriage|<!--Ahmed Abdisalan Hirsi-->|2018|2019|end=div}} | {{marriage|Tim Mynett|2020}}}}","3, including [[Isra Hirsi]]",
Rashida Tlaib,{{birth date and age|1976|7|24}},"[[Detroit]], Michigan, U.S.",,,,,,,,,[[Wayne State University]] ([[Bachelor of Arts|BA]])<br>[[Thomas M. Cooley Law School]] ([[Juris Doctor|JD]]),,,{{marriage|Fayez Tlaib|1998|2015|end=div}},2,
Alexandria Ocasio-Cortez,{{birth date and age|1989|10|13}},"[[New York City]], U.S.<!--No boroughs/neighborhoods, just cities per format.-->",,,,,,,,,[[Boston University]] ([[Bachelor of Arts|BA]]) }},,,,,
Nancy Pelosi,,,,,,,,,,,,,,,,
Condoleezza Rice,{{birth date and age|1954|11|14}},"[[Birmingham, Alabama]], U.S.",,,,,,,,,"[[University of Denver]] ([[Bachelor of Arts|BA]], [[Doctor of Philosophy|PhD]])<br>[[University of Notre Dame]] ([[Master of Arts|MA]])",,[[Political science]],,,
Madeleine Albright,{{Birth date|1937|5|15}},"[[Prague]], Czechoslovakia",{{Death date and age|2022|3|23|1937|5|15}},"[[Washington, D.C.]], U.S.",,,,,[[Presidential Medal of Freedom]] (2012),,"{{ubl|[[Wellesley College]] ([[Bachelor of Arts|BA]])|[[Johns Hopkins University]]|[[Columbia University]] ([[Master of Arts|MA]], [[PhD]])}}",,,{{marriage|[[Joseph Albright (journalist)|Joseph Albright]]|1959|1983|end=div}},"3, including [[Alice P. Albright|Alice]]",
Sonia Gandhi,{{birth date and age|1946|12|09|df=yes}},"[[Lusiana]], Italy",,,,,,,,,,,,,,
Pratibha Patil,{{birth date and age|1934|12|19|df=yes}},"[[Nadgaon]], [[Bombay Presidency]], British&nbsp;India {{awrap|(present{{endash}}day Maharashtra, India)}}",,,Indian,,,,,,"{{ubl|[[Savitribai Phule Pune University|University of Poona]] ([[Bachelor of Arts|BA]], [[Master of Arts|MA]])| [[Government Law College, Mumbai]], [[University of Mumbai]] ([[LLB]])}}",,,{{marriage|[[Devisingh Ransingh Shekhawat]]|1965|24 February 2023|reason=died}},2,
Sheikh Hasina,{{birth date and age|1947|9|28|df=y}},"[[Tungipara Upazila|Tungipara]], [[East Bengal]], Dominion of Pakistan",,,,,,,[[Sheikh Hasina#Honours and awards|Full list]],{{ubl|[[Eden Mohila College]]|[[University of Dhaka]]}},,,,{{marriage|[[M. A. Wazed Miah]]|1968|2009|end=died}},{{Hlist|[[Sajeeb Wazed|Sajeeb]]|[[Saima Wazed|Saima]]}},
