,Unnamed: 0,name,birth_date,birth_place,death_date,death_place,occupation,awards,alma_mater,education,spouse,children,occupation_cluster,birth_year,death_year,life_span,life_span_cluster,edu_award_cluster,bio_cluster
327,327,Abraham Lincoln,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
328,328,George Washington,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
329,329,Thomas Jefferson,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
330,330,Benjamin Franklin,"{{OldStyleDateDY|January 17,|1706|January 6}}{{refn|group=Note|name=birthdate}}","[[Boston]], [[Province of Massachusetts Bay]], [[British America]]",{{death date and age|1790|4|17|1706|1|17}},"[[Philadelphia]], Pennsylvania, U.S.",Composer,}},[[King's College London]],[[Boston Latin School]] }},"{{marriage|[[Deborah Read]]|September 1, 1730|1774|reason=died}}",{{hlist|[[William Franklin|William]]|[[Francis Folger Franklin|Francis]]|[[Sarah Franklin Bache|Sarah]]}},0,1706.0,1790.0,84.0,2.0,0,0
331,331,Theodore Roosevelt,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
332,332,Franklin D. Roosevelt,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
333,333,Woodrow Wilson,{{birth date|1856|12|28}},"[[Staunton, Virginia]], U.S.",{{death date and age|1924|2|3|1856|12|28}},"Washington, D.C.,<!--Links not needed per MOS:OVERLINK--> U.S.",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />","{{plainlist| * {{marriage|[[Ellen Axson Wilson|Ellen Axson]]|June 24, 1885|August 6, 1914|end=died}} * {{marriage|[[Edith Wilson|Edith Bolling]]|December 18, 1915}} }}",2,0,1856.0,1924.0,68.0,2.0,1,0
334,334,Dwight D. Eisenhower,{{birth date|1890|10|14}},"[[Denison, Texas]], US",{{death date and age|1969|3|28|1890|10|14}},"[[Washington, DC]], US",{{hlist|[[Military career of Dwight D. Eisenhower|Military officer]]|politician}},}},[[King's College London]],[[United States Military Academy]] ([[Bachelor of Science|BS]]),"{{marriage|[[Mamie Eisenhower|Mamie Doud]]|July 1, 1916}}",{{hlist|Doud|[[John Eisenhower|John]]}},4,1890.0,1969.0,79.0,2.0,4,2
335,335,Ronald Reagan,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
336,336,Richard Nixon,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
337,337,Jimmy Carter,{{Birth date|1924|10|01}},"[[Plains, Georgia]], U.S.",{{Death date and age|2024|12|29|1924|10|01}},"Plains, Georgia, U.S.",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />","{{marriage|[[Rosalynn Smith]]|July 7, 1946|November 19, 2023|end=died}}","4, including [[Jack Carter (politician)|Jack]] and [[Amy Carter|Amy]]",0,1924.0,2024.0,100.0,2.0,1,0
338,338,Bill Clinton,{{birth date and age|1946|8|19}},"[[Hope, Arkansas]], U.S.",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,[[List of awards and honors received by Bill Clinton|Full list]],[[King's College London]],"{{ubl |[[Georgetown University]] ([[Bachelor of Science|BS]]) |[[University College, Oxford]] |[[Yale University]] ([[Juris Doctor|JD]])}}","{{marriage|[[Hillary Clinton|Hillary Rodham]]|October 11, 1975}}",[[Chelsea Clinton]],0,1946.0,1860.5845620121422,60.200710479573715,2.378330373001776,4,1
339,339,George W. Bush,{{birth date and age|1946|7|6}},"[[New Haven, Connecticut]], U.S.",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",{{hlist|Politician|businessman|painter|author|military veteran}},[[List of awards and honors received by George W. Bush|Full list]],[[King's College London]],{{plainlist}} * [[Yale University]] ([[Bachelor of Arts|BA]]) * [[Harvard Business School|Harvard University]] ([[Master of Business Administration|MBA]]) {{endplainlist}},"{{marriage|[[Laura Welch]]|November 5, 1977}}",{{hlist|[[Barbara Bush (born 1981)|Barbara]]|[[Jenna Bush Hager|Jenna]]}},4,1946.0,1860.5845620121422,60.200710479573715,2.378330373001776,4,2
340,340,Joe Biden,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
